Epoch,Loss,PredLabelIndex,PredLabelName,Prob_NoAnomaly,Prob_AnomalyType1,Prob_AnomalyType2,Prob_AnomalyType3
27,34.83293914794922,3,anomaly type 3,9.75266323930313e-16,5.84102890570648e-5,1.3821088216418642e-16,0.9999415874481201
28,34.563819885253906,3,anomaly type 3,1.275942585535737e-15,6.25044631306082e-5,1.6985121557371957e-16,0.9999375343322754
29,34.29508972167969,3,anomaly type 3,1.6739848609115694e-15,6.706908607156947e-5,2.0901366477601394e-16,0.9999328851699829
30,34.0235710144043,3,anomaly type 3,2.1959396920203517e-15,7.199484389275312e-5,2.564962936260607e-16,0.9999279975891113
31,33.752166748046875,3,anomaly type 3,2.883730868707317e-15,7.729397475486621e-5,3.1529448855803683e-16,0.9999227523803711
32,33.47969055175781,3,anomaly type 3,3.7799717715158825e-15,8.308382530231029e-5,3.857406041246213e-16,0.9999169111251831
33,33.20906066894531,3,anomaly type 3,4.941278929673472e-15,8.931185584515333e-5,4.700703573203122e-16,0.9999107122421265
34,32.9411506652832,3,anomaly type 3,6.453012935472586e-15,9.593952563591301e-5,5.728380060744795e-16,0.9999040365219116
35,32.67422866821289,3,anomaly type 3,8.42778893683305e-15,0.00010310900688637048,6.973459200902308e-16,0.9998968839645386
36,32.40724182128906,3,anomaly type 3,1.1012599760871957e-14,0.0001108767683035694,8.479380019584416e-16,0.9998891353607178
37,32.13973617553711,3,anomaly type 3,1.4424730534383715e-14,0.0001193821954075247,1.0304559202789693e-15,0.9998805522918701
38,31.86983299255371,3,anomaly type 3,1.8857486034393016e-14,0.0001284749450860545,1.2489779269346068e-15,0.9998714923858643
39,31.601865768432617,3,anomaly type 3,2.461130969432391e-14,0.00013828507508151233,1.5115369647597586e-15,0.9998617172241211
40,31.335569381713867,3,anomaly type 3,3.2044723455694826e-14,0.000148746112245135,1.826806968771664e-15,0.9998512268066406
41,31.071643829345703,3,anomaly type 3,4.166121725488088e-14,0.0001599190873093903,2.2037772878812957e-15,0.9998400211334229
42,30.809206008911133,3,anomaly type 3,5.3940850402870236e-14,0.00017184988246299326,2.6457271042648308e-15,0.9998281002044678
43,30.550888061523438,3,anomaly type 3,6.974654279687589e-14,0.00018455919052939862,3.1729134226140925e-15,0.9998155236244202
44,30.293909072875977,3,anomaly type 3,9.007794239245664e-14,0.00019826265634037554,3.799717380065801e-15,0.9998018145561218
45,30.038101196289062,3,anomaly type 3,1.1619574931138327e-13,0.00021308838040567935,4.540076268492316e-15,0.999786913394928
46,29.78350067138672,3,anomaly type 3,1.4993304449546774e-13,0.00022900832118466496,5.4412020103076966e-15,0.9997709393501282
47,29.528587341308594,3,anomaly type 3,1.9327832249168425e-13,0.00024636927992105484,6.5098441875521395e-15,0.9997536540031433
48,29.27464485168457,3,anomaly type 3,2.4930535066913784e-13,0.00026529832393862307,7.789392062948746e-15,0.9997346997261047
49,29.020097732543945,3,anomaly type 3,3.2147724694960023e-13,0.0002855577040463686,9.316484046631001e-15,0.9997144341468811
