iteration,chain,true_state_scenario,cost_model,cost_hybrid,cost_manual
5014,1,no_anomaly,21.565979727106644,14.545554869635973,100
5014,1,lack_of_penetration,538.939478837805,619.6918670422801,600
5014,1,cracking,800.6039594323677,896.2645018701488,800
5014,1,porosity,331.44014341515606,309.98686370647283,300
5015,1,no_anomaly,27.60782668306235,18.9070001143995,100
5015,1,lack_of_penetration,523.8521905653275,615.2960740040567,600
5015,1,cracking,779.8431189656551,873.0948637605915,800
5015,1,porosity,323.8846996841013,306.88649596510214,300
5016,1,no_anomaly,32.702482725564145,22.485879182116534,100
5016,1,lack_of_penetration,516.9413718456232,607.1477104459283,600
5016,1,cracking,785.2505440100816,876.6265068637575,800
5016,1,porosity,298.8759103471075,279.47981007499175,300
5017,1,no_anomaly,40.84935745298623,9.082151963547012,100
5017,1,lack_of_penetration,628.1716730439297,726.0095687955618,600
5017,1,cracking,841.0921346384062,936.9098560356865,800
5017,1,porosity,424.94996557401896,403.55506933881986,300
5018,1,no_anomaly,37.24139476564198,26.702025625313205,100
5018,1,lack_of_penetration,621.6421796603416,716.0571387938131,600
5018,1,cracking,984.8431847642403,1054.907108349059,800
5018,1,porosity,333.37157733370105,301.08706362734665,300
5019,1,no_anomaly,20.445230685947532,8.279179998510994,100
5019,1,lack_of_penetration,596.2989349305674,687.4879933802912,600
5019,1,cracking,801.4013910132288,895.922949622432,800
5019,1,porosity,389.1821530094729,375.384666558768,300
5020,1,no_anomaly,49.10159088647896,30.90270176484238,100
5020,1,lack_of_penetration,524.9732770365332,613.7217760891859,600
5020,1,cracking,994.2537833433639,1079.0709895139225,800
5020,1,porosity,354.8688142806264,311.0585259226144,300
5021,1,no_anomaly,44.14413501657478,15.626379840988017,100
5021,1,lack_of_penetration,574.081536311517,660.667868306395,600
5021,1,cracking,1282.4113875681116,1350.1881864725067,800
5021,1,porosity,363.4373975824079,336.88779807412345,300
5022,1,no_anomaly,30.173204933972258,17.158168584485164,100
5022,1,lack_of_penetration,644.4374297348376,736.922809005835,600
5022,1,cracking,743.5531261239606,841.7682970002072,800
5022,1,porosity,377.97839645718454,351.0654533187843,300
5023,1,no_anomaly,37.94424923181159,15.439194115620142,100
5023,1,lack_of_penetration,655.9455394978011,740.300830483795,600
5023,1,cracking,1218.9821904435141,1271.8651492425333,800
5023,1,porosity,352.6916838336774,322.4429761760531,300
5024,1,no_anomaly,31.99618615637706,18.95937355801261,100
5024,1,lack_of_penetration,598.7751265594917,691.2806290952784,600
5024,1,cracking,999.9059335944946,1086.874828973247,800
5024,1,porosity,368.73602620721294,355.8416316269206,300
5025,1,no_anomaly,37.976446954890775,13.937149174568033,100
5025,1,lack_of_penetration,529.1486965121545,626.2111490242655,600
5025,1,cracking,798.9663690683194,893.2311409941501,800
5025,1,porosity,325.2963880485113,291.9199435763996,300
5026,1,no_anomaly,36.36181680799268,10.35327452380137,100
5026,1,lack_of_penetration,727.7490601935599,823.6599491523676,600
5026,1,cracking,828.688382539892,922.8019661425451,800
5026,1,porosity,369.19304143882266,334.8463699955782,300
5027,1,no_anomaly,37.23431327674082,24.359984022648796,100
5027,1,lack_of_penetration,601.1058412574918,632.7770309015874,600
5027,1,cracking,872.2270879019416,961.6083861669758,800
5027,1,porosity,291.47818000845956,274.8560274167187,300
5028,1,no_anomaly,36.77435633056982,11.23418181148639,100
