step,predicted_class,predicted_prob,target_prob,loss
50,anomaly type 2,0.9973969459533691,6.972363308932472e-8,16.477293014526367
51,anomaly type 2,0.9974888563156128,6.430564525317095e-8,16.55806541442871
52,anomaly type 2,0.9973496198654175,7.006065771975045e-8,16.47247886657715
53,anomaly type 2,0.9976309537887573,6.278482800325946e-8,16.581960678100586
54,anomaly type 2,0.9975475668907166,6.171332245230587e-8,16.59914779663086
55,anomaly type 2,0.9972977042198181,6.839120914037267e-8,16.49656105041504
56,anomaly type 2,0.9973500967025757,7.085234443593436e-8,16.461257934570312
57,anomaly type 2,0.9977061748504639,5.8766243427044174e-8,16.647998809814453
58,anomaly type 2,0.9975168704986572,6.273646846466363e-8,16.58272933959961
59,anomaly type 2,0.9974104762077332,6.422729370569868e-8,16.559282302856445
60,anomaly type 2,0.9976080656051636,6.155318743594762e-8,16.601741790771484
61,anomaly type 2,0.9976232647895813,6.362276394611399e-8,16.568723678588867
62,anomaly type 2,0.9975643157958984,6.099362792610918e-8,16.610858917236328
63,anomaly type 2,0.9973776340484619,6.875284697116513e-8,16.491294860839844
64,anomaly type 2,0.997498095035553,6.856117806819384e-8,16.494081497192383
65,anomaly type 2,0.9973838925361633,7.080449648810827e-8,16.461931228637695
66,anomaly type 2,0.9973315000534058,6.49662226237524e-8,16.547861099243164
67,anomaly type 2,0.9974929094314575,6.964395282693658e-8,16.478435516357422
68,anomaly type 2,0.9973673224449158,6.820695119813536e-8,16.49925422668457
69,anomaly type 2,0.9975082874298096,6.589521461819459e-8,16.53368377685547
70,anomaly type 2,0.9974373579025269,6.973551336386663e-8,16.477123260498047
71,anomaly type 2,0.9974174499511719,6.265679530770285e-8,16.583999633789062
72,anomaly type 2,0.9974053502082825,6.98781335017884e-8,16.475082397460938
73,anomaly type 2,0.9973722696304321,6.75149536277786e-8,16.509437561035156
74,anomaly type 2,0.9978435039520264,5.3208690786732404e-8,16.74716567993164
75,anomaly type 2,0.9973633885383606,6.83700207559923e-8,16.496870040893555
76,anomaly type 2,0.9975425004959106,6.393851492703106e-8,16.56378173828125
77,anomaly type 2,0.9973886609077454,7.054116224480822e-8,16.465652465820312
78,anomaly type 2,0.997357189655304,6.853305478671246e-8,16.494491577148438
79,anomaly type 2,0.9975966811180115,6.756389581141775e-8,16.508712768554688
80,anomaly type 2,0.9974427223205566,6.836607013838147e-8,16.49692726135254
81,anomaly type 2,0.9974693059921265,6.654662598748473e-8,16.523860931396484
82,anomaly type 2,0.9972485899925232,6.805888830285767e-8,16.50142478942871
